0001/01/01 00:00:00.000  [M] [log.go:191]  [HTTP] http: TLS handshake error from 127.0.0.1:56924: remote error: tls: unknown certificate
2021/08/15 10:58:33.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:58:33] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000000  Go-http-client/1.1
2021/08/15 10:58:33.616  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:58:33] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.030435  Go-http-client/1.1
2021/08/15 10:58:43.588  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:58:43] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001516  Go-http-client/1.1
2021/08/15 10:58:43.628  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:58:43] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.043068  Go-http-client/1.1
2021/08/15 10:58:53.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:58:53] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000530  Go-http-client/1.1
2021/08/15 10:58:53.623  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:58:53] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.038360  Go-http-client/1.1
2021/08/15 10:59:03.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:59:03] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000521  Go-http-client/1.1
2021/08/15 10:59:03.611  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:59:03] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.026011  Go-http-client/1.1
2021/08/15 10:59:13.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:59:13] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000530  Go-http-client/1.1
2021/08/15 10:59:13.615  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:59:13] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.029996  Go-http-client/1.1
2021/08/15 10:59:23.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:59:23] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000533  Go-http-client/1.1
2021/08/15 10:59:23.628  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:59:23] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.043878  Go-http-client/1.1
2021/08/15 10:59:33.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:59:33] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000527  Go-http-client/1.1
2021/08/15 10:59:33.615  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:59:33] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.029270  Go-http-client/1.1
2021/08/15 10:59:43.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:59:43] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000549  Go-http-client/1.1
2021/08/15 10:59:43.618  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:59:43] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.033316  Go-http-client/1.1
