0001/01/01 00:00:00.000  [M] [log.go:191]  [HTTP] http: TLS handshake error from [::1]:62461: remote error: tls: bad certificate
2021/08/08 18:52:46.132  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:52:46] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.006957  Go-http-client/1.1
2021/08/08 18:52:56.152  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:52:56] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.016972  Go-http-client/1.1
2021/08/08 18:52:56.181  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:52:56] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.030005  Go-http-client/1.1
2021/08/08 18:53:06.126  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:53:06] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.002217  Go-http-client/1.1
2021/08/08 18:53:06.128  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:53:06] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.001452  Go-http-client/1.1
2021/08/08 18:53:16.136  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:53:16] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.011035  Go-http-client/1.1
2021/08/08 18:53:16.151  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:53:16] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.012926  Go-http-client/1.1
2021/08/08 18:53:26.127  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:53:26] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.002968  Go-http-client/1.1
2021/08/08 18:53:26.136  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:53:26] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.008398  Go-http-client/1.1
2021/08/08 18:53:36.129  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:53:36] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.004447  Go-http-client/1.1
2021/08/08 18:53:36.131  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:53:36] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.004162  Go-http-client/1.1
2021/08/08 18:53:46.163  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:53:46] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.020928  Go-http-client/1.1
2021/08/08 18:53:46.249  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:53:46] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.106460  Go-http-client/1.1
2021/08/08 18:53:56.149  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:53:56] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.022206  Go-http-client/1.1
2021/08/08 18:53:56.178  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:53:56] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.050719  Go-http-client/1.1
2021/08/08 18:54:06.143  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:54:06] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.019322  Go-http-client/1.1
2021/08/08 18:54:06.158  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:54:06] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.031826  Go-http-client/1.1
